lr,embed_dim,rnn_hidden_size,fc_hidden_size,num_layers,dropout_rate,val_accuracy
0.001,16,64,128,3,0.0,0.6770310932798396
0.001,16,64,128,3,0.3,0.8696088264794383
0.001,16,64,128,3,0.5,0.6796389167502508
0.001,16,128,32,1,0.0,0.8716148445336008
0.001,16,128,32,1,0.3,0.8535606820461384
0.001,16,128,32,1,0.5,0.8499498495486459
0.001,16,128,32,2,0.0,0.8812437311935808
0.001,16,128,32,2,0.3,0.5037111334002006
0.001,16,128,32,2,0.5,0.8495486459378134
0.001,16,128,32,3,0.0,0.8772316950852558
0.001,16,128,32,3,0.3,0.5037111334002006
0.001,16,128,32,3,0.5,0.49628886659979937
0.001,16,128,64,1,0.0,0.8583751253761284
0.001,16,128,64,1,0.3,0.8706118355065195
0.001,16,128,64,1,0.5,0.8605817452357071
0.001,16,128,64,2,0.0,0.8623871614844534
0.001,16,128,64,2,0.3,0.8565697091273822
0.001,16,128,64,2,0.5,0.8678034102306921
0.001,16,128,64,3,0.0,0.8704112337011033
0.001,16,128,64,3,0.3,0.7223671013039117
0.001,16,128,64,3,0.5,0.6816449348044132
0.001,16,128,128,1,0.0,0.880641925777332
0.001,16,128,128,1,0.3,0.8647943831494483
0.001,16,128,128,1,0.5,0.8609829488465396
0.001,16,128,128,2,0.0,0.8341023069207623
0.001,16,128,128,2,0.3,0.880641925777332
0.001,16,128,128,2,0.5,0.873420260782347
0.001,16,128,128,3,0.0,0.8778335005015045
0.001,16,128,128,3,0.3,0.8477432296890672
0.001,16,128,128,3,0.5,0.5037111334002006
0.001,32,32,32,1,0.0,0.8665997993981945
0.001,32,32,32,1,0.3,0.8409227683049147
0.001,32,32,32,1,0.5,0.8678034102306921
0.001,32,32,32,2,0.0,0.8720160481444333
0.001,32,32,32,2,0.3,0.879839518555667
0.001,32,32,32,2,0.5,0.8399197592778335
0.001,32,32,32,3,0.0,0.875827482447342
0.001,32,32,32,3,0.3,0.6864593781344032
0.001,32,32,32,3,0.5,0.49628886659979937
0.001,32,32,64,1,0.0,0.8613841524573721
0.001,32,32,64,1,0.3,0.8748244734202608
0.001,32,32,64,1,0.5,0.8585757271815446
0.001,32,32,64,2,0.0,0.8619859578736209
0.001,32,32,64,2,0.3,0.8541624874623872
0.001,32,32,64,2,0.5,0.8613841524573721
0.001,32,32,64,3,0.0,0.8527582748244734
0.001,32,32,64,3,0.3,0.5165496489468405
0.001,32,32,64,3,0.5,0.6816449348044132
0.001,32,32,128,1,0.0,0.8641925777331996
0.001,32,32,128,1,0.3,0.8322968906720161
0.001,32,32,128,1,0.5,0.8754262788365095
0.001,32,32,128,2,0.0,0.8547642928786359
0.001,32,32,128,2,0.3,0.8162487462387161
0.001,32,32,128,2,0.5,0.8778335005015045
0.001,32,32,128,3,0.0,0.6896690070210632
0.001,32,32,128,3,0.3,0.8641925777331996
0.001,32,32,128,3,0.5,0.8686058174523571
0.001,32,64,32,1,0.0,0.874222668004012
0.001,32,64,32,1,0.3,0.8645937813440321
0.001,32,64,32,1,0.5,0.8487462387161484
0.001,32,64,32,2,0.0,0.8832497492477432
0.001,32,64,32,2,0.3,0.8583751253761284
0.001,32,64,32,2,0.5,0.8692076228686059
0.001,32,64,32,3,0.0,0.794383149448345
0.001,32,64,32,3,0.3,0.8597793380140422
0.001,32,64,32,3,0.5,0.7420260782347041
0.001,32,64,64,1,0.0,0.8764292878635908
0.001,32,64,64,1,0.3,0.8780341023069208
0.001,32,64,64,1,0.5,0.8698094282848545
0.001,32,64,64,2,0.0,0.869408224674022
0.001,32,64,64,2,0.3,0.8730190571715145
0.001,32,64,64,2,0.5,0.8561685055165497
0.001,32,64,64,3,0.0,0.879037111334002
0.001,32,64,64,3,0.3,0.8736208625877633
0.001,32,64,64,3,0.5,0.8597793380140422
0.001,32,64,128,1,0.0,0.8732196589769308
0.001,32,64,128,1,0.3,0.8778335005015045
0.001,32,64,128,1,0.5,0.8796389167502507
0.001,32,64,128,2,0.0,0.8718154463390171
0.001,32,64,128,2,0.3,0.8818455366098295
0.001,32,64,128,2,0.5,0.8038114343029087
0.001,32,64,128,3,0.0,0.8577733199598796
0.001,32,64,128,3,0.3,0.8682046138415246
0.001,32,64,128,3,0.5,0.8611835506519558
